id,subscription_length,charge_amount,seconds_of_use,frequency_of_use,frequency_of_sms,distinct_called_numbers,call_failures,tariff_plan,status,age_group,complaints,churn,usage_intensity,engagement_intensity,sms_intensity,call_failure_rate,network_reach_ratio,usage_segment,charge_segment,tenure_segment,failure_segment,tariff_plan_flag,status_inactive_flag,complaints_flag,age_group_code
1,35,0,1420,41,36,20,1,A,Active,30-40,N,0,40.57142857142857,1.1714285714285715,1.0285714285714285,0.024390243902439025,0.4878048780487805,Low usage,Zero charge tier,Long tenure,Low failure,0,0,0,1
2,28,0,920,32,20,12,7,A,Active,Under 30,N,0,32.857142857142854,1.1428571428571428,0.7142857142857143,0.21875,0.375,Low usage,Zero charge tier,Short tenure,High failure,0,0,0,0
3,40,0,88,6,8,6,0,A,Inactive,30-40,N,1,2.2,0.15,0.2,0.0,1.0,Low usage,Zero charge tier,Long tenure,Low failure,0,1,0,1
4,38,0,13963,170,9,47,9,A,Active,30-40,N,0,367.44736842105266,4.473684210526316,0.23684210526315788,0.052941176470588235,0.27647058823529413,High usage,Zero charge tier,Long tenure,Low failure,0,0,0,1
5,38,0,13773,169,0,44,7,A,Active,30-40,N,0,362.44736842105266,4.447368421052632,0.0,0.04142011834319527,0.2603550295857988,High usage,Zero charge tier,Long tenure,Low failure,0,0,0,1
6,45,3,4080,94,47,31,18,A,Active,30-40,N,0,90.66666666666667,2.088888888888889,1.0444444444444445,0.19148936170212766,0.32978723404255317,Low usage,Positive charge tier,Long tenure,High failure,0,0,0,1
7,39,1,7813,133,391,45,8,A,Active,30-40,N,0,200.33333333333334,3.41025641025641,10.025641025641026,0.06015037593984962,0.3383458646616541,High usage,Positive charge tier,Long tenure,Low failure,0,0,0,1
8,36,0,3875,64,0,12,1,A,Active,Under 30,N,0,107.63888888888889,1.7777777777777777,0.0,0.015625,0.1875,High usage,Zero charge tier,Long tenure,Low failure,0,0,0,0
9,38,0,305,6,7,2,5,A,Inactive,Under 30,N,1,8.026315789473685,0.15789473684210525,0.18421052631578946,0.8333333333333334,0.3333333333333333,Low usage,Zero charge tier,Long tenure,High failure,0,1,0,0
10,36,0,7318,127,409,45,0,A,Active,30-40,N,0,203.27777777777777,3.5277777777777777,11.36111111111111,0.0,0.3543307086614173,High usage,Zero charge tier,Long tenure,Low failure,0,0,0,1
11,36,0,4020,76,0,20,0,A,Active,30-40,N,0,111.66666666666667,2.111111111111111,0.0,0.0,0.2631578947368421,High usage,Zero charge tier,Long tenure,Low failure,0,0,0,1
12,36,0,2078,43,25,28,7,A,Inactive,30-40,N,1,57.72222222222222,1.1944444444444444,0.6944444444444444,0.16279069767441862,0.6511627906976745,Low usage,Zero charge tier,Long tenure,High failure,0,1,0,1
13,32,0,0,0,0,0,0,A,Inactive,30-40,Y,1,0.0,0.0,0.0,0.0,0.0,Low usage,Zero charge tier,Short tenure,Low failure,0,1,1,1
14,40,2,3835,85,37,30,14,B,Active,30-40,N,0,95.875,2.125,0.925,0.16470588235294117,0.35294117647058826,Low usage,Positive charge tier,Long tenure,High failure,1,0,0,1
15,40,2,3400,33,490,10,9,A,Active,30-40,N,0,85.0,0.825,12.25,0.2727272727272727,0.30303030303030304,Low usage,Positive charge tier,Long tenure,High failure,0,0,0,1
16,34,0,345,5,1,4,0,A,Inactive,Under 30,N,0,10.147058823529411,0.14705882352941177,0.029411764705882353,0.0,0.8,Low usage,Zero charge tier,Short tenure,Low failure,0,1,0,0
17,35,1,5628,98,51,26,8,A,Active,Under 30,Y,1,160.8,2.8,1.457142857142857,0.08163265306122448,0.2653061224489796,High usage,Positive charge tier,Long tenure,Low failure,0,0,1,0
18,30,1,1010,36,194,10,1,B,Active,Under 30,N,0,33.666666666666664,1.2,6.466666666666667,0.027777777777777776,0.2777777777777778,Low usage,Positive charge tier,Short tenure,Low failure,1,0,0,0
19,42,0,1013,15,26,10,6,A,Inactive,Over 40,Y,1,24.11904761904762,0.35714285714285715,0.6190476190476191,0.4,0.6666666666666666,Low usage,Zero charge tier,Long tenure,High failure,0,1,1,2
20,37,0,13063,158,0,44,1,A,Active,30-40,N,0,353.05405405405406,4.27027027027027,0.0,0.006329113924050633,0.27848101265822783,High usage,Zero charge tier,Long tenure,Low failure,0,0,0,1
21,36,1,338,4,4,2,0,A,Active,Over 40,N,0,9.38888888888889,0.1111111111111111,0.1111111111111111,0.0,0.5,Low usage,Positive charge tier,Long tenure,Low failure,0,0,0,2
22,42,1,2473,60,12,37,4,A,Active,Under 30,N,0,58.88095238095238,1.4285714285714286,0.2857142857142857,0.06666666666666667,0.6166666666666667,Low usage,Positive charge tier,Long tenure,Low failure,0,0,0,0
23,33,0,3298,70,0,22,0,A,Active,Under 30,N,0,99.93939393939394,2.121212121212121,0.0,0.0,0.3142857142857143,High usage,Zero charge tier,Short tenure,Low failure,0,0,0,0
24,32,2,1800,50,211,18,11,B,Active,30-40,N,0,56.25,1.5625,6.59375,0.22,0.36,Low usage,Positive charge tier,Short tenure,High failure,1,0,0,1
25,30,0,2148,48,344,21,3,A,Active,Under 30,N,0,71.6,1.6,11.466666666666667,0.0625,0.4375,Low usage,Zero charge tier,Short tenure,Low failure,0,0,0,0
26,43,3,6885,94,203,32,9,A,Active,30-40,N,0,160.11627906976744,2.186046511627907,4.72093023255814,0.09574468085106383,0.3404255319148936,High usage,Positive charge tier,Long tenure,Low failure,0,0,0,1
27,34,0,2028,49,0,29,0,A,Active,Under 30,N,0,59.64705882352941,1.4411764705882353,0.0,0.0,0.5918367346938775,Low usage,Zero charge tier,Short tenure,Low failure,0,0,0,0
28,38,0,4198,66,1,35,10,A,Active,Under 30,N,0,110.47368421052632,1.736842105263158,0.02631578947368421,0.15151515151515152,0.5303030303030303,High usage,Zero charge tier,Long tenure,High failure,0,0,0,0
29,36,2,15080,222,49,30,22,A,Active,30-40,N,0,418.8888888888889,6.166666666666667,1.3611111111111112,0.0990990990990991,0.13513513513513514,High usage,Positive charge tier,Long tenure,High failure,0,0,0,1
30,25,0,1225,32,19,13,10,A,Active,Under 30,N,0,49.0,1.28,0.76,0.3125,0.40625,Low usage,Zero charge tier,Short tenure,High failure,0,0,0,0
31,37,0,0,0,0,0,0,A,Inactive,Under 30,N,0,0.0,0.0,0.0,0.0,0.0,Low usage,Zero charge tier,Long tenure,Low failure,0,1,0,0
32,43,1,2713,70,374,30,15,A,Active,30-40,N,0,63.093023255813954,1.627906976744186,8.69767441860465,0.21428571428571427,0.42857142857142855,Low usage,Positive charge tier,Long tenure,High failure,0,0,0,1
33,20,3,2808,49,39,23,8,A,Active,30-40,N,0,140.4,2.45,1.95,0.16326530612244897,0.46938775510204084,High usage,Positive charge tier,Short tenure,High failure,0,0,0,1
34,26,0,1378,38,21,65,2,A,Active,Over 40,N,0,53.0,1.4615384615384615,0.8076923076923077,0.05263157894736842,1.7105263157894737,Low usage,Zero charge tier,Short tenure,Low failure,0,0,0,2
35,40,6,16045,241,82,49,34,B,Active,30-40,Y,0,401.125,6.025,2.05,0.14107883817427386,0.2033195020746888,High usage,Positive charge tier,Long tenure,High failure,1,0,1,1
36,35,0,0,0,0,0,0,A,Inactive,Under 30,N,1,0.0,0.0,0.0,0.0,0.0,Low usage,Zero charge tier,Long tenure,Low failure,0,1,0,0
37,31,1,1270,40,201,15,4,B,Active,Under 30,N,0,40.96774193548387,1.2903225806451613,6.483870967741935,0.1,0.375,Low usage,Positive charge tier,Short tenure,High failure,1,0,0,0
38,29,2,15770,232,0,78,20,A,Active,Under 30,N,0,543.7931034482758,8.0,0.0,0.08620689655172414,0.33620689655172414,High usage,Positive charge tier,Short tenure,Low failure,0,0,0,0
39,33,0,3713,52,0,28,3,A,Active,Under 30,N,0,112.51515151515152,1.5757575757575757,0.0,0.057692307692307696,0.5384615384615384,High usage,Zero charge tier,Short tenure,Low failure,0,0,0,0
40,36,0,760,8,0,7,0,A,Inactive,Under 30,N,0,21.11111111111111,0.2222222222222222,0.0,0.0,0.875,Low usage,Zero charge tier,Long tenure,Low failure,0,1,0,0
41,36,0,383,4,7,4,0,A,Active,Over 40,N,1,10.63888888888889,0.1111111111111111,0.19444444444444445,0.0,1.0,Low usage,Zero charge tier,Long tenure,Low failure,0,0,0,2
42,28,0,0,0,0,0,0,A,Inactive,30-40,N,1,0.0,0.0,0.0,0.0,0.0,Low usage,Zero charge tier,Short tenure,Low failure,0,1,0,1
43,39,0,2550,39,260,16,9,A,Active,30-40,N,0,65.38461538461539,1.0,6.666666666666667,0.23076923076923078,0.41025641025641024,Low usage,Zero charge tier,Long tenure,High failure,0,0,0,1
44,10,2,1603,25,32,11,3,A,Active,30-40,N,1,160.3,2.5,3.2,0.12,0.44,High usage,Positive charge tier,Short tenure,High failure,0,0,0,1
